temperature_c,gas_raw,water_level_cm,acceleration_x_ms2,acceleration_y_ms2,acceleration_z_ms2,sos,risk_level,scenario
29.6,165.0,6.0,0.06,0.03,9.87,False,LOW,normal
30.4,171.0,6.2,0.01,0.08,9.84,False,LOW,normal
30.6,170.0,6.2,0.16,0.02,9.89,False,LOW,normal
29.7,177.0,6.1,0.15,0.04,9.84,False,LOW,normal
30.1,184.0,6.7,0.22,-0.01,9.84,False,LOW,normal
29.3,185.0,6.8,0.28,-0.01,9.92,False,LOW,normal
29.8,181.0,6.7,0.2,-0.0,10.01,False,LOW,normal
30.2,182.0,6.3,0.22,0.12,10.0,False,LOW,normal
29.9,201.0,6.3,0.2,0.09,9.96,False,LOW,normal
29.6,192.0,6.1,0.16,0.06,9.94,False,LOW,normal
30.8,189.0,6.0,0.16,0.01,9.95,False,LOW,normal
31.0,189.0,6.1,0.11,0.04,9.86,False,LOW,normal
30.4,187.0,6.7,0.08,0.01,9.76,False,LOW,normal
31.0,189.0,6.8,0.03,0.06,9.81,False,LOW,normal
30.5,197.0,6.3,0.01,0.12,9.79,False,LOW,normal
30.0,177.0,6.1,-0.03,0.14,9.8,False,LOW,normal
29.9,174.0,6.3,-0.05,0.15,9.72,False,LOW,normal
29.6,186.0,5.9,0.01,0.12,9.68,False,LOW,normal
29.1,200.0,5.9,0.1,0.09,9.72,False,LOW,normal
29.2,198.0,6.1,0.11,0.07,9.73,False,LOW,normal
28.5,204.0,6.2,0.18,0.09,9.7,False,LOW,normal
28.9,205.0,6.5,0.22,0.01,9.74,False,LOW,normal
28.4,212.0,6.7,0.19,0.07,9.81,False,LOW,normal
28.0,205.0,6.8,0.23,0.02,9.76,False,LOW,normal
28.8,211.0,6.8,0.21,0.04,9.72,False,LOW,normal
29.1,216.0,6.8,0.16,0.14,9.72,False,LOW,normal
28.9,207.0,7.2,0.18,0.16,9.75,False,LOW,normal
28.7,216.0,7.2,0.13,0.21,9.8,False,LOW,normal
28.7,220.0,7.1,0.15,0.21,9.81,False,LOW,normal
28.2,218.0,6.8,0.12,0.11,9.75,False,LOW,normal
28.3,218.0,6.5,0.08,0.11,9.68,False,LOW,normal
27.6,216.0,6.9,0.06,0.08,9.73,False,LOW,normal
28.2,222.0,6.7,0.08,0.05,9.8,False,LOW,normal
27.7,200.0,6.5,0.01,0.1,9.85,False,LOW,normal
28.0,195.0,6.0,0.03,0.16,9.74,False,LOW,normal
28.3,181.0,5.9,0.05,0.13,9.75,False,LOW,normal
28.1,178.0,6.1,0.03,0.08,9.76,False,LOW,normal
29.0,172.0,6.3,-0.01,0.05,9.77,False,LOW,normal
28.7,173.0,6.4,0.04,0.08,9.86,False,LOW,normal
29.0,170.0,6.5,-0.05,0.08,9.82,False,LOW,normal
29.3,156.0,6.6,-0.05,0.1,9.79,False,LOW,normal
29.1,168.0,6.4,-0.12,0.16,9.8,False,LOW,normal
29.3,161.0,6.6,-0.1,0.18,9.75,False,LOW,normal
29.1,171.0,6.5,-0.17,0.19,9.8,False,LOW,normal
28.6,167.0,5.9,-0.22,0.15,9.92,False,LOW,normal
28.9,173.0,5.8,-0.24,0.18,9.93,False,LOW,normal
29.2,178.0,6.0,-0.22,0.15,9.93,False,LOW,normal
30.1,182.0,6.0,-0.18,0.09,9.95,False,LOW,normal
30.0,186.0,6.2,-0.21,0.08,9.97,False,LOW,normal
29.7,180.0,6.3,-0.23,0.2,9.96,False,LOW,normal
30.2,175.0,5.9,-0.25,0.1,9.93,False,LOW,normal
29.3,170.0,5.8,-0.33,0.05,9.96,False,LOW,normal
29.1,182.0,5.8,-0.3,0.12,9.92,False,LOW,normal
28.9,181.0,6.1,-0.26,0.08,9.93,False,LOW,normal
29.2,185.0,6.6,-0.25,0.06,9.91,False,LOW,normal
28.7,179.0,6.3,-0.18,0.05,9.93,False,LOW,normal
28.0,163.0,6.5,-0.23,0.02,9.88,False,LOW,normal
28.2,167.0,6.8,-0.19,0.02,9.91,False,LOW,normal
28.7,165.0,6.5,-0.13,-0.0,9.85,False,LOW,normal
28.6,163.0,6.2,-0.17,-0.02,9.83,False,LOW,normal
28.2,158.0,6.3,-0.14,-0.06,9.9,False,LOW,normal
27.4,150.0,6.3,-0.12,-0.04,9.96,False,LOW,normal
27.5,143.0,6.2,-0.15,-0.08,9.94,False,LOW,normal
27.9,157.0,6.2,-0.14,-0.16,9.98,False,LOW,normal
28.0,162.0,6.2,-0.19,-0.13,10.0,False,LOW,normal
27.6,176.0,6.5,-0.12,-0.06,9.99,False,LOW,normal
28.0,181.0,6.0,-0.07,-0.09,10.04,False,LOW,normal
28.4,184.0,5.8,-0.02,-0.14,10.0,False,LOW,normal
28.2,181.0,5.6,-0.06,-0.1,10.08,False,LOW,normal
28.4,176.0,5.4,-0.02,-0.04,10.08,False,LOW,normal
28.6,184.0,5.1,0.03,-0.04,9.97,False,LOW,normal
29.1,177.0,5.6,0.05,0.06,9.9,False,LOW,normal
28.9,175.0,5.5,0.13,0.06,9.95,False,LOW,normal
28.2,180.0,5.4,0.14,0.06,9.9,False,LOW,normal
28.6,177.0,5.2,0.04,0.05,9.85,False,LOW,normal
29.1,191.0,4.5,0.03,0.06,9.88,False,LOW,normal
29.2,187.0,4.6,0.04,0.05,9.94,False,LOW,normal
28.5,183.0,4.4,0.05,0.06,9.9,False,LOW,normal
27.5,185.0,4.7,0.14,0.1,9.99,False,LOW,normal
27.9,191.0,4.3,0.11,0.23,9.97,False,LOW,normal
27.1,200.0,4.1,0.06,0.18,9.95,False,LOW,normal
28.2,196.0,4.3,0.07,0.16,9.93,False,LOW,normal
28.5,200.0,3.8,-0.02,0.2,9.96,False,LOW,normal
29.1,216.0,3.3,-0.11,0.2,9.91,False,LOW,normal
29.3,204.0,3.4,-0.12,0.11,9.84,False,LOW,normal
29.0,200.0,3.7,-0.11,0.11,9.85,False,LOW,normal
30.4,197.0,4.0,-0.16,0.09,9.86,False,LOW,normal
29.8,194.0,4.3,-0.14,0.04,9.82,False,LOW,normal
29.0,204.0,4.1,-0.27,0.03,9.76,False,LOW,normal
29.2,218.0,4.5,-0.16,-0.05,9.72,False,LOW,normal
29.3,228.0,4.5,-0.14,-0.05,9.71,False,LOW,normal
29.3,224.0,4.8,-0.14,-0.0,9.75,False,LOW,normal
29.4,228.0,4.5,-0.09,-0.1,9.72,False,LOW,normal
29.2,218.0,4.5,-0.09,-0.0,9.76,False,LOW,normal
28.5,211.0,4.3,-0.08,-0.0,9.69,False,LOW,normal
28.8,209.0,4.5,-0.11,-0.02,9.76,False,LOW,normal
28.1,197.0,4.6,-0.09,-0.01,9.78,False,LOW,normal
28.2,206.0,4.5,-0.16,-0.04,9.85,False,LOW,normal
28.9,191.0,4.6,-0.14,-0.1,9.82,False,LOW,normal
29.2,175.0,5.2,-0.18,-0.07,9.85,False,LOW,normal
29.1,179.0,4.8,-0.11,-0.01,9.89,False,LOW,normal
29.4,179.0,4.6,-0.12,-0.06,9.88,False,LOW,normal
29.4,192.0,4.9,-0.2,-0.09,9.78,False,LOW,normal
29.0,191.0,4.7,-0.21,-0.09,9.83,False,LOW,normal
28.9,188.0,4.4,-0.26,-0.12,9.81,False,LOW,normal
30.0,187.0,4.4,-0.3,-0.06,9.84,False,LOW,normal
30.6,189.0,4.3,-0.37,-0.05,9.83,False,LOW,normal
30.6,189.0,4.0,-0.49,-0.1,9.83,False,LOW,normal
30.8,191.0,3.9,-0.49,-0.14,9.85,False,LOW,normal
31.3,191.0,3.6,-0.53,-0.09,9.88,False,LOW,normal
30.7,191.0,3.2,-0.56,-0.16,9.85,False,LOW,normal
30.7,192.0,3.6,-0.57,-0.14,9.9,False,LOW,normal
30.2,199.0,4.0,-0.57,-0.22,9.9,False,LOW,normal
29.5,211.0,4.4,-0.57,-0.21,9.86,False,LOW,normal
30.1,233.0,4.6,-0.52,-0.23,9.9,False,LOW,normal
31.0,216.0,4.6,-0.53,-0.2,9.91,False,LOW,normal
31.1,226.0,5.3,-0.44,-0.25,9.88,False,LOW,normal
30.0,224.0,5.2,-0.47,-0.24,9.97,False,LOW,normal
29.3,231.0,5.3,-0.44,-0.27,9.91,False,LOW,normal
29.0,240.0,5.4,-0.3,-0.23,9.91,False,LOW,normal
29.9,231.0,5.8,-0.29,-0.28,9.92,False,LOW,normal
30.3,223.0,6.0,-0.22,-0.26,9.92,False,LOW,normal
30.9,229.0,5.9,-0.23,-0.24,9.93,False,LOW,normal
31.3,226.0,5.3,-0.22,-0.27,9.93,False,LOW,normal
31.6,225.0,5.0,-0.29,-0.27,9.92,False,LOW,normal
30.9,226.0,4.7,-0.28,-0.36,9.91,False,LOW,normal
30.2,226.0,4.2,-0.3,-0.23,9.82,False,LOW,normal
30.4,229.0,4.3,-0.38,-0.25,9.89,False,LOW,normal
30.4,231.0,4.6,-0.3,-0.29,9.88,False,LOW,normal
30.1,238.0,4.7,-0.28,-0.26,9.91,False,LOW,normal
30.4,233.0,4.7,-0.21,-0.27,9.96,False,LOW,normal
31.0,232.0,4.2,-0.12,-0.27,9.83,False,LOW,normal
31.0,230.0,4.4,-0.08,-0.16,9.81,False,LOW,normal
30.5,224.0,4.5,-0.05,-0.13,9.82,False,LOW,normal
30.0,223.0,4.5,-0.11,-0.16,9.84,False,LOW,normal
29.4,242.0,4.6,-0.09,-0.14,9.85,False,LOW,normal
28.6,251.0,4.9,-0.1,-0.07,9.89,False,LOW,normal
28.6,245.0,4.5,-0.07,-0.02,9.9,False,LOW,normal
29.5,245.0,4.3,-0.0,-0.03,9.9,False,LOW,normal
29.6,249.0,4.6,0.01,-0.03,9.92,False,LOW,normal
30.3,244.0,4.4,0.04,-0.12,9.87,False,LOW,normal
30.7,234.0,4.3,0.05,-0.04,9.9,False,LOW,normal
30.2,240.0,3.9,-0.07,-0.08,9.83,False,LOW,normal
28.4,231.0,3.8,-0.07,-0.04,9.88,False,LOW,normal
28.5,236.0,4.1,-0.1,-0.06,9.85,False,LOW,normal
29.1,250.0,4.1,-0.07,-0.1,9.79,False,LOW,normal
28.5,244.0,4.6,-0.1,-0.06,9.78,False,LOW,normal
28.7,230.0,4.6,-0.06,-0.04,9.85,False,LOW,normal
29.1,220.0,4.7,-0.06,0.01,9.82,False,LOW,normal
29.3,223.0,4.8,-0.03,-0.01,9.85,False,LOW,normal
29.2,213.0,4.5,-0.08,0.02,9.8,False,LOW,normal
30.3,214.0,4.4,-0.15,0.05,9.79,False,LOW,normal
30.5,215.0,4.1,-0.23,0.02,9.78,False,LOW,normal
30.2,189.0,4.2,-0.16,0.07,9.76,False,LOW,normal
29.6,195.0,4.4,-0.15,0.04,9.82,False,LOW,normal
29.7,204.0,4.1,-0.21,-0.04,9.81,False,LOW,normal
30.3,201.0,4.0,-0.1,-0.14,9.79,False,LOW,normal
29.8,203.0,3.9,0.04,-0.1,9.8,False,LOW,normal
29.8,198.0,3.9,-0.02,-0.1,9.8,False,LOW,normal
30.7,189.0,3.7,-0.02,-0.07,9.82,False,LOW,normal
30.3,189.0,3.3,-0.01,-0.07,9.75,False,LOW,normal
29.6,186.0,3.7,0.02,-0.06,9.82,False,LOW,normal
29.3,183.0,3.9,0.05,-0.01,9.76,False,LOW,normal
29.1,179.0,3.9,0.03,0.04,9.78,False,LOW,normal
29.3,183.0,4.5,-0.03,-0.01,9.75,False,LOW,normal
29.1,165.0,4.5,-0.04,0.01,9.65,False,LOW,normal
28.7,165.0,4.0,0.01,0.03,9.66,False,LOW,normal
28.3,174.0,3.3,-0.01,0.0,9.72,False,LOW,normal
28.2,175.0,3.5,0.03,0.03,9.67,False,LOW,normal
28.8,180.0,3.2,0.02,0.04,9.69,False,LOW,normal
28.8,179.0,3.6,0.05,0.04,9.79,False,LOW,normal
28.6,191.0,3.8,0.06,0.06,9.79,False,LOW,normal
28.5,188.0,4.0,0.06,0.01,9.8,False,LOW,normal
28.6,188.0,3.9,0.06,0.03,9.82,False,LOW,normal
27.7,183.0,3.8,-0.05,0.16,9.88,False,LOW,normal
27.2,178.0,3.8,0.01,0.13,9.91,False,LOW,normal
27.6,182.0,4.1,-0.01,0.13,9.95,False,LOW,normal
26.9,172.0,4.5,-0.02,0.17,9.91,False,LOW,normal
27.7,182.0,4.6,-0.03,0.19,9.85,False,LOW,normal
27.2,184.0,4.6,-0.06,0.2,9.84,False,LOW,normal
27.7,170.0,4.4,-0.05,0.23,9.86,False,LOW,normal
27.5,166.0,4.3,-0.11,0.23,9.73,False,LOW,normal
27.7,168.0,4.4,-0.15,0.23,9.71,False,LOW,normal
28.5,170.0,4.6,-0.15,0.26,9.79,False,LOW,normal
29.2,171.0,4.6,-0.21,0.22,9.81,False,LOW,normal
28.4,178.0,4.6,-0.21,0.23,9.83,False,LOW,normal
29.0,175.0,4.6,-0.23,0.25,9.82,False,LOW,normal
29.4,160.0,4.6,-0.26,0.25,9.81,False,LOW,normal
30.3,166.0,4.5,-0.3,0.22,9.75,False,LOW,normal
30.9,166.0,5.2,-0.31,0.23,9.79,False,LOW,normal
31.1,169.0,5.3,-0.35,0.25,9.83,False,LOW,normal
30.8,166.0,4.4,-0.39,0.3,9.76,False,LOW,normal
30.2,182.0,4.2,-0.45,0.25,9.75,False,LOW,normal
29.9,182.0,4.0,-0.42,0.19,9.79,False,LOW,normal
29.6,183.0,3.6,-0.41,0.25,9.83,False,LOW,normal
29.0,169.0,3.7,-0.35,0.27,9.85,False,LOW,normal
29.0,179.0,3.0,-0.34,0.23,9.88,False,LOW,normal
28.7,186.0,3.1,-0.35,0.26,9.93,False,LOW,normal
28.0,190.0,3.6,-0.27,0.24,9.95,False,LOW,normal
28.0,194.0,3.9,-0.25,0.28,10.02,False,LOW,normal
28.2,191.0,4.1,-0.29,0.3,10.01,False,LOW,normal
27.6,180.0,4.5,-0.31,0.26,9.96,False,LOW,normal
27.5,184.0,4.9,-0.25,0.21,10.0,False,LOW,normal
26.9,196.0,5.1,-0.26,0.12,9.9,False,LOW,normal
25.7,198.0,5.0,-0.25,0.13,9.82,False,LOW,normal
25.9,188.0,4.7,-0.31,0.1,9.7,False,LOW,normal
25.6,183.0,5.0,-0.26,0.03,9.7,False,LOW,normal
25.7,185.0,5.0,-0.2,0.06,9.63,False,LOW,normal
25.8,190.0,5.0,-0.21,0.11,9.64,False,LOW,normal
26.4,194.0,4.6,-0.22,0.12,9.68,False,LOW,normal
26.3,199.0,4.8,-0.19,0.08,9.7,False,LOW,normal
26.3,203.0,5.1,-0.15,0.08,9.76,False,LOW,normal
26.3,208.0,5.2,-0.18,0.03,9.78,False,LOW,normal
25.9,199.0,5.4,-0.1,0.05,9.83,False,LOW,normal
26.2,211.0,5.3,-0.08,0.04,9.84,False,LOW,normal
26.0,219.0,5.2,-0.07,0.13,9.75,False,LOW,normal
26.9,215.0,5.2,-0.08,0.17,9.74,False,LOW,normal
27.0,204.0,5.3,-0.1,0.09,9.81,False,LOW,normal
27.0,207.0,5.4,-0.04,0.1,9.77,False,LOW,normal
27.2,203.0,6.4,-0.02,0.05,9.78,False,LOW,normal
27.3,200.0,6.2,-0.01,0.12,9.82,False,LOW,normal
27.6,184.0,6.0,-0.02,0.09,9.86,False,LOW,normal
27.6,186.0,5.7,-0.01,0.11,9.75,False,LOW,normal
28.0,186.0,6.0,0.0,-0.01,9.7,False,LOW,normal
28.8,191.0,5.9,-0.04,0.03,9.71,False,LOW,normal
27.9,190.0,5.8,0.01,0.06,9.79,False,LOW,normal
27.3,195.0,5.3,-0.01,-0.08,9.83,False,LOW,normal
26.7,195.0,5.2,-0.02,-0.1,9.92,False,LOW,normal
27.2,184.0,4.9,-0.06,-0.11,9.98,False,LOW,normal
27.4,210.0,5.1,-0.12,-0.14,10.01,False,LOW,normal
27.5,228.0,5.1,-0.14,-0.17,10.01,False,LOW,normal
27.4,225.0,5.3,-0.05,-0.25,9.99,False,LOW,normal
27.1,224.0,5.6,-0.04,-0.24,9.93,False,LOW,normal
26.6,220.0,5.5,-0.02,-0.27,9.94,False,LOW,normal
26.4,233.0,5.6,-0.05,-0.25,9.89,False,LOW,normal
26.9,225.0,5.4,0.1,-0.17,9.9,False,LOW,normal
26.9,233.0,5.8,0.12,-0.15,9.95,False,LOW,normal
27.4,235.0,5.9,0.09,-0.2,9.93,False,LOW,normal
28.2,234.0,5.7,0.1,-0.16,9.96,False,LOW,normal
28.8,213.0,5.6,0.1,-0.15,9.96,False,LOW,normal
29.1,214.0,5.6,0.11,-0.08,9.96,False,LOW,normal
28.6,209.0,5.2,0.1,-0.08,9.9,False,LOW,normal
28.5,199.0,5.3,0.13,-0.04,9.84,False,LOW,normal
27.9,206.0,5.4,0.18,-0.04,9.85,False,LOW,normal
27.7,189.0,5.2,0.18,0.05,9.85,False,LOW,normal
28.0,179.0,4.9,0.18,0.01,9.85,False,LOW,normal
27.1,177.0,4.7,0.09,-0.09,9.88,False,LOW,normal
26.9,172.0,4.9,0.1,0.02,9.9,False,LOW,normal
27.0,163.0,5.3,0.11,0.05,9.84,False,LOW,normal
27.5,168.0,5.3,0.15,0.04,9.78,False,LOW,normal
27.6,164.0,5.2,0.1,0.06,9.74,False,LOW,normal
28.2,183.0,5.4,0.04,0.07,9.72,False,LOW,normal
27.6,178.0,6.0,0.06,0.07,9.7,False,LOW,normal
27.8,162.0,5.5,0.01,0.03,9.72,False,LOW,normal
27.9,160.0,5.3,-0.02,-0.02,9.76,False,LOW,normal
28.3,175.0,5.1,-0.03,0.03,9.81,False,LOW,normal
27.8,164.0,5.4,0.02,0.1,9.83,False,LOW,normal
27.4,158.0,5.2,0.04,0.13,9.84,False,LOW,normal
28.3,161.0,5.3,-0.08,0.16,9.85,False,LOW,normal
28.7,158.0,5.5,-0.05,0.21,9.85,False,LOW,normal
28.0,164.0,5.8,-0.11,0.21,9.83,False,LOW,normal
26.6,172.0,5.8,-0.06,0.16,9.82,False,LOW,normal
25.3,161.0,6.1,-0.04,0.11,9.81,False,LOW,normal
25.1,173.0,6.1,0.0,0.11,9.83,False,LOW,normal
26.2,182.0,6.3,-0.05,0.14,9.88,False,LOW,normal
27.0,171.0,6.3,-0.03,0.07,9.77,False,LOW,normal
25.9,174.0,6.3,-0.08,-0.02,9.74,False,LOW,normal
25.4,175.0,6.0,-0.12,-0.06,9.76,False,LOW,normal
26.1,182.0,6.4,-0.17,-0.05,9.81,False,LOW,normal
26.6,171.0,6.5,-0.09,-0.05,9.83,False,LOW,normal
26.9,180.0,6.3,-0.07,-0.1,9.9,False,LOW,normal
27.0,186.0,6.4,-0.09,-0.01,9.84,False,LOW,normal
26.9,177.0,6.6,-0.18,-0.05,9.86,False,LOW,normal
26.1,183.0,6.9,-0.09,0.0,9.85,False,LOW,normal
25.1,196.0,6.5,-0.1,-0.02,9.85,False,LOW,normal
26.3,193.0,6.3,-0.03,-0.05,9.79,False,LOW,normal
26.5,194.0,6.3,-0.08,0.02,9.82,False,LOW,normal
26.4,200.0,6.2,-0.03,0.1,9.83,False,LOW,normal
26.2,201.0,6.1,-0.14,0.17,9.86,False,LOW,normal
25.5,223.0,6.3,-0.05,0.28,9.83,False,LOW,normal
25.5,216.0,5.7,-0.08,0.23,9.83,False,LOW,normal
25.4,232.0,5.7,-0.06,0.25,9.88,False,LOW,normal
25.1,233.0,5.4,-0.07,0.24,9.88,False,LOW,normal
23.7,244.0,5.4,-0.09,0.21,9.85,False,LOW,normal
23.9,244.0,5.6,-0.07,0.22,9.82,False,LOW,normal
23.5,234.0,5.8,-0.11,0.23,9.83,False,LOW,normal
23.3,239.0,5.8,-0.1,0.18,9.83,False,LOW,normal
23.6,232.0,5.6,-0.09,0.18,9.82,False,LOW,normal
23.3,234.0,6.0,-0.07,0.14,9.72,False,LOW,normal
23.8,232.0,5.7,-0.06,0.1,9.71,False,LOW,normal
24.2,227.0,6.0,-0.03,0.06,9.57,False,LOW,normal
24.2,230.0,6.1,-0.06,0.04,9.7,False,LOW,normal
24.9,232.0,5.9,-0.04,0.1,9.73,False,LOW,normal
25.2,232.0,5.7,-0.04,0.16,9.71,False,LOW,normal
25.7,218.0,5.6,-0.11,0.19,9.68,False,LOW,normal
26.0,217.0,5.4,-0.08,0.24,9.75,False,LOW,normal
26.6,212.0,4.9,-0.09,0.24,9.78,False,LOW,normal
27.2,224.0,4.7,-0.11,0.22,9.72,False,LOW,normal
26.8,203.0,4.7,-0.12,0.17,9.73,False,LOW,normal
27.5,192.0,4.9,-0.08,0.2,9.77,False,LOW,normal
27.5,195.0,5.0,-0.07,0.21,9.74,False,LOW,normal
27.7,203.0,4.6,-0.14,0.14,9.85,False,LOW,normal
28.1,211.0,4.0,-0.08,0.1,9.87,False,LOW,normal
27.7,204.0,3.7,-0.02,0.19,9.79,False,LOW,normal
27.7,216.0,3.9,-0.08,0.2,9.86,False,LOW,normal
28.0,227.0,3.8,-0.07,0.26,9.83,False,LOW,normal
28.0,228.0,3.7,-0.08,0.29,9.86,False,LOW,normal
28.0,226.0,4.2,-0.11,0.23,9.85,False,LOW,normal
27.9,222.0,4.6,-0.13,0.28,9.89,False,LOW,normal
27.9,227.0,4.3,-0.22,0.2,9.88,False,LOW,normal
28.5,228.0,4.5,-0.24,0.23,9.91,False,LOW,normal
28.6,222.0,4.4,-0.21,0.27,9.91,False,LOW,normal
28.6,223.0,3.8,-0.16,0.27,9.87,False,LOW,normal
29.1,212.0,3.9,-0.18,0.25,9.88,False,LOW,normal
29.0,211.0,4.1,-0.24,0.24,9.89,False,LOW,normal
27.9,192.0,3.7,-0.17,0.13,9.96,False,LOW,normal
28.4,204.0,3.3,-0.17,0.11,9.98,False,LOW,normal
28.5,210.0,3.5,-0.2,0.01,9.95,False,LOW,normal
28.1,199.0,3.8,-0.13,0.08,9.89,False,LOW,normal
27.8,211.0,3.7,-0.17,0.04,9.86,False,LOW,normal
28.0,214.0,4.0,-0.13,-0.03,9.87,False,LOW,normal
28.6,198.0,4.3,-0.12,0.07,9.86,False,LOW,normal
29.2,213.0,4.4,-0.08,0.09,9.88,False,LOW,normal
29.5,213.0,3.7,-0.06,0.14,9.81,False,LOW,normal
29.5,211.0,3.8,-0.0,0.2,9.72,False,LOW,normal
29.5,210.0,3.8,0.02,0.27,9.8,False,LOW,normal
29.5,212.0,4.0,0.01,0.25,9.75,False,LOW,normal
29.0,216.0,4.3,0.02,0.22,9.79,False,LOW,normal
28.8,210.0,4.5,0.04,0.23,9.77,False,LOW,normal
28.4,206.0,4.4,0.02,0.26,9.74,False,LOW,normal
28.4,201.0,4.2,-0.03,0.22,9.76,False,LOW,normal
28.3,197.0,4.5,-0.09,0.21,9.75,False,LOW,normal
28.3,205.0,4.6,-0.12,0.21,9.75,False,LOW,normal
28.2,213.0,4.7,-0.14,0.13,9.7,False,LOW,normal
28.4,220.0,4.8,-0.12,0.2,9.68,False,LOW,normal
28.3,227.0,4.6,-0.06,0.22,9.71,False,LOW,normal
28.2,220.0,4.2,-0.01,0.25,9.83,False,LOW,normal
28.1,237.0,4.3,-0.21,0.27,9.81,False,LOW,normal
27.8,235.0,4.7,-0.13,0.17,9.78,False,LOW,normal
26.9,230.0,4.9,-0.08,0.13,9.76,False,LOW,normal
26.6,223.0,5.3,-0.18,0.18,9.64,False,LOW,normal
26.4,219.0,5.3,-0.16,0.26,9.68,False,LOW,normal
26.1,214.0,5.2,-0.13,0.22,9.66,False,LOW,normal
25.9,215.0,5.2,-0.13,0.2,9.69,False,LOW,normal
26.0,212.0,4.9,-0.07,0.16,9.65,False,LOW,normal
26.2,226.0,5.4,-0.16,0.17,9.6,False,LOW,normal
25.6,233.0,5.5,-0.13,0.1,9.61,False,LOW,normal
26.4,232.0,5.2,-0.08,0.09,9.58,False,LOW,normal
27.0,227.0,5.7,-0.17,0.12,9.6,False,LOW,normal
27.2,235.0,5.6,-0.12,0.13,9.69,False,LOW,normal
27.0,244.0,6.0,-0.1,0.1,9.71,False,LOW,normal
